,filtered_tweets_pt
232,“Combater o zika vírus tentando apenas erradicar o mosquito não funcionará” https://t.co/y87uwYCBbH
233,eu: eu não sei oq é zika virus lucas: é o mosquito da dengue mais evoluído eu: ele usa óculos espelhado?
234,"Achei 1pouco anormal a resposta do govBras ao surto de ZikaVirus, conclamando a população/exército no combate ao mosquito. Algo podre no ar."
235,FAO pede aumento de combate a mosquito em áreas afetadas pelo zika:  https://t.co/DNMldFIoCI
236,"Entendendo o #zika #virus: #infographic transmitido pelo mesmo mosquito que transmite a #dengue,… https://t.co/6qwJmpzguh"
237,Como se proteger do zika vírus neste Carnaval  clique : https://t.co/6z7VyBu3vX https://t.co/R2nlNOFOG6
238,NA LUTA CONTRA O ZIKA: Não podemos perder para um mosquito! Todos juntos podemos por um fim nos focos de... https://t.co/e4JtZ6gQ6D
239,"'Zika Vírus pode ser transmitido pelo beijo'  Quem é que vai beijar um mosquito, irmão?"
240,#Aedes #Zika e a (provável) relação entre #transgenia nos mosquitos... algo que eu DESCONFIO MUITO haver uma... https://t.co/mjVU9QP4kd
241,Urgente!!! Encontraram.nas praias nordestinas o mosquito transmissor da zica!! https://t.co/DGNbi8ItDY
242,O #zika Virus é transmitido a humanos primariamente por picadas de mosquitos Aedes infectados  https://t.co/JjsWSeiMJr
243,América Latina destrói rotineiramente colônias de #morcegos beneficl-menos #morcegos significa mais #mosquitos e #zikavirus #Brazil #bats
244,"@jornalhoje #Os jogos olímpicos ameaçados. Zika,origem Brasil. Esse 'governo ',perde pra 'mosquito'!"
245,Gostei de um vídeo @YouTube de @pirulla25 https://t.co/7tG9ieRhjj #Zika: Água parada pra combater mosquito??? (#Pirula 125)
246,Mosquito que picou Lula diz que não conhece nem nunca falou com nenhum Zica.
247,@RealitySocial @folha cara sai lá do Quênia que não tem nem água para juntar mosquito para ter medo de Zika aqui?
248,"Lixo fora do lixo é criadouro do mosquito da dengue, Zika e chikungunya. #CarnavalSemZika #CombateAedes #ZikaZero https://t.co/oWbEmRhyBN"
249,Conheça algumas maneiras alternativas de combater o mosquito Aedes aegypti: https://t.co/sRGEDdEJ9L https://t.co/u6tbgSS57N
250,"to c zika de novo, esses mosquitos me amam demais"
251,MosquitoTransgênico - Zika e Microcefalia - Qual a Relação? https://t.co/Z5P75iyMVg
252,“Combater o zika vírus tentando apenas erradicar o mosquito não funcionará” https://t.co/Z3fs3UBh63 via @elpais_brasil
